window_length,window_id,window_end_timestamp_utc,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
8192,2028,2024-01-30 19:10:00+00:00,D_06,6,detail,160,0.1111111111111111,5.349975929621319e-06,2.5555297564230246e-05,0.012053405022852008,0.01204067342849622
8192,2028,2024-01-30 19:10:00+00:00,D_07,7,detail,320,0.2222222222222222,4.519918204948631e-06,2.3489313054078837e-05,0.010183299048649045,0.010172542782478176
8192,2028,2024-01-30 19:10:00+00:00,D_08,8,detail,640,0.4444444444444444,1.3322619585082172e-06,1.2752632418718894e-05,0.0030015635946186833,0.002998393146927982
8192,2028,2024-01-30 19:10:00+00:00,D_09,9,detail,1280,0.8888888888888888,4.953646363538927e-07,7.776201898174233e-06,0.001116048123303219,0.001114869280315657
8192,2028,2024-01-30 19:10:00+00:00,A_09,9,approximation,2560,1.7777777777777777,4.693254373115119e-07,7.569062213829096e-06,,0.0010562653732825442
8192,2029,2024-01-31 19:10:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0002206595964741006,0.0001641218629485949,0.49286006672551885,0.492059503627718
8192,2029,2024-01-31 19:10:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012165032379627206,0.0001218601372128602,0.2717152920672946,0.2712739391344379
8192,2029,2024-01-31 19:10:00+00:00,D_03,3,detail,20,0.013888888888888888,5.17958002390642e-05,7.95155929448441e-05,0.11568987694094293,0.11550195941115933
8192,2029,2024-01-31 19:10:00+00:00,D_04,4,detail,40,0.027777777777777776,3.0141827041212802e-05,6.06582413711591e-05,0.06732407347851214,0.06721471755284625
8192,2029,2024-01-31 19:10:00+00:00,D_05,5,detail,80,0.05555555555555555,1.183823236086004e-05,3.8014427836517515e-05,0.02644159639787294,0.026398646749986637
8192,2029,2024-01-31 19:10:00+00:00,D_06,6,detail,160,0.1111111111111111,6.605030121040693e-06,2.8395036378693903e-05,0.014752839387895225,0.014728876036836577
8192,2029,2024-01-31 19:10:00+00:00,D_07,7,detail,320,0.2222222222222222,3.248429336682471e-06,1.9913231386768873e-05,0.007255615097702635,0.007243829647650538
8192,2029,2024-01-31 19:10:00+00:00,D_08,8,detail,640,0.4444444444444444,1.4895936878355662e-06,1.3484627060920707e-05,0.0033271213040884863,0.0033217169901304565
8192,2029,2024-01-31 19:10:00+00:00,D_09,9,detail,1280,0.8888888888888888,2.836341755208261e-07,5.884157751242491e-06,0.000633518600172187,0.0006324895624243373
8192,2029,2024-01-31 19:10:00+00:00,A_09,9,approximation,2560,1.7777777777777777,7.284120661206705e-07,9.429607019389563e-06,,0.0016243212868099599
8192,2030,2024-02-01 19:10:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00022916664934930127,0.0001672556262152252,0.48764438399461274,0.4868480723455848
8192,2030,2024-02-01 19:10:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00013026773585145268,0.0001261024314755837,0.2771970964537221,0.27674444020620287
8192,2030,2024-02-01 19:10:00+00:00,D_03,3,detail,20,0.013888888888888888,5.277870790207412e-05,8.026651460573336e-05,0.11230796704501805,0.1121245708133133
8192,2030,2024-02-01 19:10:00+00:00,D_04,4,detail,40,0.027777777777777776,3.2885425862029934e-05,6.33587737544973e-05,0.06997699395799535,0.0698627231957726
8192,2030,2024-02-01 19:10:00+00:00,D_05,5,detail,80,0.05555555555555555,1.2676437327930814e-05,3.933721731397862e-05,0.026974228098099056,0.02693017982693453
8192,2030,2024-02-01 19:10:00+00:00,D_06,6,detail,160,0.1111111111111111,5.409290731215121e-06,2.5696571949635293e-05,0.0115104455816804,0.011491649298562955
8192,2030,2024-02-01 19:10:00+00:00,D_07,7,detail,320,0.2222222222222222,3.4437768282131315e-06,2.0503241538845406e-05,0.007328022793793289,0.007316056307340111
8192,2030,2024-02-01 19:10:00+00:00,D_08,8,detail,640,0.4444444444444444,2.4642181198796452e-06,1.7343813766351125e-05,0.005243616950848159,0.005235054249424642
8192,2030,2024-02-01 19:10:00+00:00,D_09,9,detail,1280,0.8888888888888888,8.540075305592829e-07,1.0210238299507264e-05,0.0018172451242308644,0.001814277606283236
8192,2030,2024-02-01 19:10:00+00:00,A_09,9,approximation,2560,1.7777777777777777,7.686662311159475e-07,9.68665716542714e-06,,0.0016329761505808997
8192,2031,2024-02-02 19:10:00+00:00,D_01,1,detail,5,0.003472222222222222,0.000248499287539264,0.00017416769415119817,0.4946693813659226,0.4942018517731301
8192,2031,2024-02-02 19:10:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00013491088007229235,0.00012833009502869836,0.26855723509609014,0.2683034121195816
8192,2031,2024-02-02 19:10:00+00:00,D_03,3,detail,20,0.013888888888888888,5.579415409098128e-05,8.252763067942298e-05,0.11106534735500921,0.11096037555247142
8192,2031,2024-02-02 19:10:00+00:00,D_04,4,detail,40,0.027777777777777776,3.556834857079985e-05,6.589263559113769e-05,0.07080331359479265,0.07073639486963945
8192,2031,2024-02-02 19:10:00+00:00,D_05,5,detail,80,0.05555555555555555,1.4373600431445424e-05,4.18878251573972e-05,0.028612476533964412,0.02858543386666657
8192,2031,2024-02-02 19:10:00+00:00,D_06,6,detail,160,0.1111111111111111,7.0809668410012756e-06,2.940026930290203e-05,0.014095563497972863,0.014082241280526958
