window_length,window_id,window_end_timestamp_utc,scale_group,component_start,component_end,group_energy,group_detail_energy_share
8192,556,2018-04-04 21:20:00+00:00,coarse,D_07,D_09,5.886530269200253e-06,0.01081367549298255
8192,557,2018-04-05 21:20:00+00:00,fine,D_01,D_03,0.00047692378924857315,0.8831115600385505
8192,557,2018-04-05 21:20:00+00:00,mid,D_04,D_06,5.548746342601897e-05,0.10274517961441829
8192,557,2018-04-05 21:20:00+00:00,coarse,D_07,D_09,7.6380580011214e-06,0.014143260347031289
8192,558,2018-04-06 21:20:00+00:00,fine,D_01,D_03,0.0004825051148510653,0.8850342907218632
8192,558,2018-04-06 21:20:00+00:00,mid,D_04,D_06,5.674395856423986e-05,0.10408252177006315
8192,558,2018-04-06 21:20:00+00:00,coarse,D_07,D_09,5.933322237995648e-06,0.010883187508073612
8192,559,2018-04-09 21:25:00+00:00,fine,D_01,D_03,0.0004678613576069719,0.8842882425768646
8192,559,2018-04-09 21:25:00+00:00,mid,D_04,D_06,5.415782074119863e-05,0.10236178591448979
8192,559,2018-04-09 21:25:00+00:00,coarse,D_07,D_09,7.063235145870977e-06,0.013349971508645739
8192,560,2018-04-10 21:25:00+00:00,fine,D_01,D_03,0.00047754934726189195,0.8852389192296474
8192,560,2018-04-10 21:25:00+00:00,mid,D_04,D_06,5.6667636992903565e-05,0.10504547438819002
8192,560,2018-04-10 21:25:00+00:00,coarse,D_07,D_09,5.241163018558557e-06,0.0097156063821625
8192,561,2018-04-11 21:25:00+00:00,fine,D_01,D_03,0.00046056520349500494,0.8858899340065279
8192,561,2018-04-11 21:25:00+00:00,mid,D_04,D_06,5.268845777551283e-05,0.10134542085996086
8192,561,2018-04-11 21:25:00+00:00,coarse,D_07,D_09,6.636209711593601e-06,0.012764645133511254
8192,562,2018-04-12 21:25:00+00:00,fine,D_01,D_03,0.0004414541174882387,0.8853664088464186
8192,562,2018-04-12 21:25:00+00:00,mid,D_04,D_06,5.240284198824218e-05,0.10509748167817776
8192,562,2018-04-12 21:25:00+00:00,coarse,D_07,D_09,4.7548164812584515e-06,0.009536109475403674
8192,563,2018-04-13 21:25:00+00:00,fine,D_01,D_03,0.00043116901671993513,0.8849882045860585
8192,563,2018-04-13 21:25:00+00:00,mid,D_04,D_06,4.9874095688621324e-05,0.10236817741358256
8192,563,2018-04-13 21:25:00+00:00,coarse,D_07,D_09,6.1600101704712855e-06,0.012643618000358955
8192,564,2018-04-16 21:30:00+00:00,fine,D_01,D_03,0.0004190886075469628,0.8837970535542548
8192,564,2018-04-16 21:30:00+00:00,mid,D_04,D_06,5.061154047627358e-05,0.10673239392163635
8192,564,2018-04-16 21:30:00+00:00,coarse,D_07,D_09,4.490850760440444e-06,0.009470552524108843
8192,565,2018-04-17 21:30:00+00:00,fine,D_01,D_03,0.00041072192854202133,0.8820904723306434
8192,565,2018-04-17 21:30:00+00:00,mid,D_04,D_06,4.880267823864007e-05,0.1048114904683452
8192,565,2018-04-17 21:30:00+00:00,coarse,D_07,D_09,6.098752075964004e-06,0.013098037201011494
8192,566,2018-04-18 21:30:00+00:00,fine,D_01,D_03,0.0003875679074833199,0.8797588105521235
8192,566,2018-04-18 21:30:00+00:00,mid,D_04,D_06,4.8523215249021924e-05,0.11014515213306567
8192,566,2018-04-18 21:30:00+00:00,coarse,D_07,D_09,4.447696356140001e-06,0.010096037314810808
8192,567,2018-04-19 21:30:00+00:00,fine,D_01,D_03,0.00038455776203432426,0.8782984253335892
8192,567,2018-04-19 21:30:00+00:00,mid,D_04,D_06,4.7589176703151604e-05,0.10868978106225115
8192,567,2018-04-19 21:30:00+00:00,coarse,D_07,D_09,5.697136740929133e-06,0.013011793604159714
8192,568,2018-04-20 21:30:00+00:00,fine,D_01,D_03,0.0003900657315471114,0.8787782440160572
8192,568,2018-04-20 21:30:00+00:00,mid,D_04,D_06,4.941440639381805e-05,0.11132560942388385
8192,568,2018-04-20 21:30:00+00:00,coarse,D_07,D_09,4.392629965218321e-06,0.009896146560059068
8192,569,2018-04-23 21:35:00+00:00,fine,D_01,D_03,0.00038105114962449127,0.878519008485292
8192,569,2018-04-23 21:35:00+00:00,mid,D_04,D_06,4.715254327546575e-05,0.10871087938389341
8192,569,2018-04-23 21:35:00+00:00,coarse,D_07,D_09,5.538942084668672e-06,0.012770112130814634
8192,570,2018-04-24 21:35:00+00:00,fine,D_01,D_03,0.00038320084810532066,0.8776856416031414
8192,570,2018-04-24 21:35:00+00:00,mid,D_04,D_06,4.898015190306992e-05,0.11218444912483573
8192,570,2018-04-24 21:35:00+00:00,coarse,D_07,D_09,4.422756440653206e-06,0.010129909272022923
8192,571,2018-04-25 21:35:00+00:00,fine,D_01,D_03,0.0003841222649140901,0.8780465064417019
8192,571,2018-04-25 21:35:00+00:00,mid,D_04,D_06,4.747786550647872e-05,0.10852735638897736
8192,571,2018-04-25 21:35:00+00:00,coarse,D_07,D_09,5.8735820718957965e-06,0.0134261371693207
8192,572,2018-04-26 21:35:00+00:00,fine,D_01,D_03,0.000396232131529808,0.8751282537109899
8192,572,2018-04-26 21:35:00+00:00,mid,D_04,D_06,5.1784968915257445e-05,0.11437358510103035
8192,572,2018-04-26 21:35:00+00:00,coarse,D_07,D_09,4.753256185041898e-06,0.010498161187979652
8192,573,2018-04-27 21:35:00+00:00,fine,D_01,D_03,0.0003972484576018478,0.8743950505330872
8192,573,2018-04-27 21:35:00+00:00,mid,D_04,D_06,5.099970810521905e-05,0.11225693012137772
8192,573,2018-04-27 21:35:00+00:00,coarse,D_07,D_09,6.0641698438488425e-06,0.01334801934553507
8192,574,2018-04-30 21:40:00+00:00,fine,D_01,D_03,0.0004010915089672907,0.8743442008886009
8192,574,2018-04-30 21:40:00+00:00,mid,D_04,D_06,5.2932048367127246e-05,0.11538720839569525
8192,574,2018-04-30 21:40:00+00:00,coarse,D_07,D_09,4.7105528245551185e-06,0.010268590715703895
8192,575,2018-05-01 21:40:00+00:00,fine,D_01,D_03,0.0003969827569232675,0.8757966659618123
8192,575,2018-05-01 21:40:00+00:00,mid,D_04,D_06,5.1372221623249655e-05,0.1133339411751573
8192,575,2018-05-01 21:40:00+00:00,coarse,D_07,D_09,4.926898802599556e-06,0.010869392863030502
8192,576,2018-05-02 21:40:00+00:00,fine,D_01,D_03,0.00041933928418049583,0.8757082865522281
8192,576,2018-05-02 21:40:00+00:00,mid,D_04,D_06,5.546852843975459e-05,0.11583520034970836
