event_id,scale_group,component_start,component_end,group_energy,group_rms_volatility,group_detail_energy_share
82,mid,D_04,D_06,3.859652615824377e-05,9.152039247731736e-05,0.10129192277071461
82,coarse,D_07,D_09,3.471706852553137e-06,2.744828965809638e-05,0.009111075461807162
83,fine,D_01,D_03,0.00021766747904780495,0.0002173404382824441,0.8920869025179363
83,mid,D_04,D_06,2.4105046586634192e-05,7.232655046117797e-05,0.09879195752434063
83,coarse,D_07,D_09,2.225540510723781e-06,2.197665127156391e-05,0.009121139957722983
84,fine,D_01,D_03,0.00021405826688360174,0.000215531011562666,0.8921066259568177
84,mid,D_04,D_06,2.356908305461779e-05,7.151795838268749e-05,0.09822622348047153
84,coarse,D_07,D_09,2.3196033242520465e-06,2.243626836342289e-05,0.00966715056271081
85,fine,D_01,D_03,0.00018775284414120075,0.00020185384528671087,0.8755873910726851
85,mid,D_04,D_06,2.2670141085058524e-05,7.01408260468062e-05,0.10572244473158551
85,coarse,D_07,D_09,4.007745567138858e-06,2.9491294498580578e-05,0.018690164195729393
86,fine,D_01,D_03,0.00019520037543583794,0.00020581834851611828,0.8842154126946322
86,mid,D_04,D_06,2.2022876315002622e-05,6.913226478018583e-05,0.09975885869130216
86,coarse,D_07,D_09,3.537857627436306e-06,2.7708559003765795e-05,0.016025728614065548
87,fine,D_01,D_03,0.00012207693092646253,0.00016276482889117017,0.8979751600858954
87,mid,D_04,D_06,1.2300353675931458e-05,5.1665729317630133e-05,0.09047910999590322
87,coarse,D_07,D_09,1.5696060830736526e-06,1.845606458894934e-05,0.011545729918201353
88,fine,D_01,D_03,0.00012583347438092958,0.00016525014864684964,0.9024707199381102
88,mid,D_04,D_06,1.2455023883506428e-05,5.198954865320261e-05,0.08932674255633445
88,coarse,D_07,D_09,1.1436978178468773e-06,1.5754310875588525e-05,0.00820253750555538
89,fine,D_01,D_03,0.00012903809623787495,0.00016734114580520818,0.9081284046858209
89,mid,D_04,D_06,1.1480481419930095e-05,4.991416551697186e-05,0.08079591671661832
89,coarse,D_07,D_09,1.5737691645778578e-06,1.848052398116619e-05,0.011075678597560836
90,fine,D_01,D_03,0.00014590804486415247,0.00017794401433075571,0.8827021555462169
90,mid,D_04,D_06,1.7495665942813797e-05,6.161819946209813e-05,0.10584380083234542
90,coarse,D_07,D_09,1.8933193944207926e-06,2.0270091383415426e-05,0.011454043621437702
91,fine,D_01,D_03,0.00016881193635268099,0.00019140150155826598,0.8851162199219798
91,mid,D_04,D_06,1.8493928869314985e-05,6.335171209023901e-05,0.09696752946495116
91,coarse,D_07,D_09,3.41703935607315e-06,2.7231323859625682e-05,0.017916250613069097
92,fine,D_01,D_03,0.00020018464450938294,0.00020842948016252632,0.8669550230199573
92,mid,D_04,D_06,2.7073445855285336e-05,7.665059537067041e-05,0.11724905240470791
92,coarse,D_07,D_09,3.647365159492986e-06,2.8134123363975914e-05,0.015795924575334845
93,fine,D_01,D_03,0.00024421746976460734,0.00023021421078687145,0.8806157592730256
93,mid,D_04,D_06,2.9348397340137264e-05,7.980607645686832e-05,0.10582642278638865
93,coarse,D_07,D_09,3.7599327040347676e-06,2.8564971872261674e-05,0.013557817940585774
94,fine,D_01,D_03,0.00020522693257159173,0.00021103813575299346,0.8910792891485533
94,mid,D_04,D_06,2.1336003563150453e-05,6.804563987932268e-05,0.09263925864940217
94,coarse,D_07,D_09,3.7498262319948673e-06,2.852655558006916e-05,0.016281452202044522
95,fine,D_01,D_03,0.00034959766830596617,0.00027544064613917386,0.8849906157217067
95,mid,D_04,D_06,3.9677644263052534e-05,9.279331809712887e-05,0.10044215396772556
95,coarse,D_07,D_09,5.754490115239715e-06,3.533842495755634e-05,0.01456723031056772
96,fine,D_01,D_03,0.00034714586880450884,0.00027447308611406413,0.8826030899675065
96,mid,D_04,D_06,4.191860801789468e-05,9.537777593743882e-05,0.10657621561547444
96,coarse,D_07,D_09,4.2560006951737486e-06,3.039097336337666e-05,0.010820694417019135
97,fine,D_01,D_03,0.00041490620027107575,0.00030006733918395436,0.8729878917131324
97,mid,D_04,D_06,5.2764960077815024e-05,0.00010700807999190344,0.11102068666258619
97,coarse,D_07,D_09,7.600265760895148e-06,4.061235316207282e-05,0.01599142162428152
98,fine,D_01,D_03,0.00042922691235571404,0.0003052019027890943,0.8824816848934894
98,mid,D_04,D_06,4.9706797599672996e-05,0.00010386079843385533,0.10219615134492423
98,coarse,D_07,D_09,7.452488991641889e-06,4.021558924071411e-05,0.015322163761586335
99,fine,D_01,D_03,0.0006425083465489345,0.00037340759891592214,0.8916838410050831
99,mid,D_04,D_06,6.878513321551333e-05,0.00012217744987041932,0.09546115956173638
99,coarse,D_07,D_09,9.262749924222553e-06,4.483464489500053e-05,0.012854999433180523
100,fine,D_01,D_03,0.0006291692862012249,0.0003695111277999272,0.9043975682325752
100,mid,D_04,D_06,5.4589622380759155e-05,0.00010884257551998882,0.07846969458725786
100,coarse,D_07,D_09,1.1918864447396198e-05,5.0858225734574804e-05,0.017132737180166936
101,fine,D_01,D_03,0.0006614825558071462,0.00037888111838394676,0.8885866982217343
101,mid,D_04,D_06,7.240525974829523e-05,0.00012535129434508316,0.09726386603667656
101,coarse,D_07,D_09,1.0533136424736134e-05,4.7810426663325186e-05,0.014149435741589136
102,fine,D_01,D_03,0.0008243882932473593,0.00042297010470254654,0.8663428878672088
102,mid,D_04,D_06,0.0001180255101465659,0.0001600411664072756,0.12403203944054064
102,coarse,D_07,D_09,9.158956990667178e-06,4.45827418931447e-05,0.009625072692250509
103,fine,D_01,D_03,0.0007821884421851057,0.00041200213067717456,0.8725241440808112
103,mid,D_04,D_06,0.00010540742952403642,0.0001512444253478211,0.11758103580294707
103,coarse,D_07,D_09,8.870372224001316e-06,4.387475324400706e-05,0.009894820116241711
104,fine,D_01,D_03,0.0004898257980203009,0.00032603527616883565,0.8727177925956057
