event_id,component,component_type,k,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
115,D_09,detail,9,1280,0.8888888888888888,1.4141152675415678e-06,1.751806648995109e-05,0.0024376085837025524,0.002434527978331015
115,A_09,approximation,9,2560,1.7777777777777777,7.340778823363076e-07,1.2621612258072354e-05,,0.0012637818032533129
116,D_01,detail,1,5,0.003472222222222222,0.00025578565354437467,0.00023560356405973734,0.4868145614412819,0.4862457370106795
116,D_02,detail,2,10,0.006944444444444444,0.00014378548048596645,0.0001766449724334577,0.27365438465553515,0.27333462984156104
116,D_03,detail,3,20,0.013888888888888888,6.468243520650082e-05,0.00011847779035315574,0.12310444660081027,0.12296060370396879
116,D_04,detail,4,40,0.027777777777777776,3.499830252766418e-05,8.714997266802918e-05,0.06660922166707205,0.06653139130703625
116,D_05,detail,5,80,0.05555555555555555,1.2449222974437405e-05,5.197744021522763e-05,0.02369352205100934,0.023665837065273233
116,D_06,detail,6,160,0.1111111111111111,8.179270789875399e-06,4.213093118346845e-05,0.015566893871129108,0.01554870454352092
116,D_07,detail,7,320,0.2222222222222222,2.18510117478418e-06,2.177607181186714e-05,0.004158712794745734,0.004153853495897922
116,D_08,detail,8,640,0.4444444444444444,2.0212619529270463e-06,2.094377990879031e-05,0.0038468918703504396,0.003842396922476936
116,D_09,detail,9,1280,0.8888888888888888,1.3405568114431387e-06,1.7056360893454512e-05,0.0025513650480659144,0.002548383874358973
116,A_09,approximation,9,2560,1.7777777777777777,6.146601475967868e-07,1.1549449726069079e-05,,0.0011684622352263494
117,D_01,detail,1,5,0.003472222222222222,0.0002649491095990833,0.0002397866481515297,0.5002121685436353,0.49826216832235354
117,D_02,detail,2,10,0.006944444444444444,0.00013605332109582112,0.00017182974220795666,0.25686263632244216,0.2558612968325891
117,D_03,detail,3,20,0.013888888888888888,7.11252135973365e-05,0.00012423831615411917,0.13428124889903778,0.1337577740986756
117,D_04,detail,4,40,0.027777777777777776,3.537393122851315e-05,8.761640474926913e-05,0.06678441334074672,0.0665240645747985
117,D_05,detail,5,80,0.05555555555555555,1.2748079586259253e-05,5.259762662781637e-05,0.024067808886992587,0.023973984234961342
117,D_06,detail,6,160,0.1111111111111111,4.659310115490433e-06,3.179834913485159e-05,0.008796570859639639,0.008762278780794858
117,D_07,detail,7,320,0.2222222222222222,2.607812602351683e-06,2.3789315970195367e-05,0.004923434537868965,0.004904241285401191
117,D_08,detail,8,640,0.4444444444444444,1.5938734470232377e-06,1.859819010375072e-05,0.0030091623803757492,0.002997431623555719
117,D_09,detail,9,1280,0.8888888888888888,5.628078334466068e-07,1.1051566252499154e-05,0.0010625562292610412,0.0010584140171908793
117,A_09,approximation,9,2560,1.7777777777777777,2.0729315371065284e-06,2.1209783927893038e-05,,0.0038983462296793532
118,D_01,detail,1,5,0.003472222222222222,0.000278650214833478,0.0002459084519912592,0.5240228177914292,0.5222366521418387
118,D_02,detail,2,10,0.006944444444444444,0.00012245803801881215,0.00016301869541916297,0.2302916083598806,0.22950664452571967
118,D_03,detail,3,20,0.013888888888888888,7.675723193289511e-05,0.0001290634936847131,0.14434778378829907,0.14385576503597863
118,D_04,detail,4,40,0.027777777777777776,3.315593315322885e-05,8.482510237731655e-05,0.062352241600970124,0.062139709954749045
118,D_05,detail,5,80,0.05555555555555555,1.0227241131129274e-05,4.711107481761335e-05,0.019233100964840454,0.01916754369688924
118,D_06,detail,6,160,0.1111111111111111,5.545269724432998e-06,3.469006410828642e-05,0.010428299393730679,0.010392753861115834
118,D_07,detail,7,320,0.2222222222222222,1.665010736319917e-06,1.9008694193198478e-05,0.003131178700941449,0.003120505875926075
118,D_08,detail,8,640,0.4444444444444444,2.5535015218113476e-06,2.354029089735249e-05,0.004802052865790656,0.00478568475817171
118,D_09,detail,9,1280,0.8888888888888888,7.396227375763106e-07,1.2669191236700205e-05,0.001390916534117755,0.0013861755051962292
118,A_09,approximation,9,2560,1.7777777777777777,1.8187104764565848e-06,1.9866691552918604e-05,,0.003408564644414777
119,D_01,detail,1,5,0.003472222222222222,0.0001957037841208075,0.0002060835734898054,0.5023902974456409,0.5017814958531039
119,D_02,detail,2,10,0.006944444444444444,0.00010716728490609432,0.00015250176805248867,0.2751086514871847,0.27477527206883673
119,D_03,detail,3,20,0.013888888888888888,4.622992840904888e-05,0.00010016255062198955,0.11867663974231446,0.11853282620204623
119,D_04,detail,4,40,0.027777777777777776,2.5413976028510314e-05,7.426429673858107e-05,0.0652401027072537,0.06516104409758826
119,D_05,detail,5,80,0.05555555555555555,6.91965037484249e-06,3.875126110975005e-05,0.017763403123012722,0.017741877253255378
119,D_06,detail,6,160,0.1111111111111111,4.613405083407284e-06,3.164131757955069e-05,0.01184305128540329,0.01182869975727922
119,D_07,detail,7,320,0.2222222222222222,1.8047710112452235e-06,1.979041120604265e-05,0.004633019485208597,0.004627405145809148
119,D_08,detail,8,640,0.4444444444444444,1.2666680863407888e-06,1.6579643161065365e-05,0.0032516579049326148,0.0032477175133267784
119,D_09,detail,9,1280,0.8888888888888888,4.2584190277714254e-07,9.613199642861466e-06,0.001093176819048948,0.0010918520964343884
119,A_09,approximation,9,2560,1.7777777777777777,4.7262764172538344e-07,1.0127524995141208e-05,,0.001211810012319905
120,D_01,detail,1,5,0.003472222222222222,0.00017011503339414512,0.0001921388168885367,0.5184407853199585,0.5179384692611376
120,D_02,detail,2,10,0.006944444444444444,8.099912034690946e-05,0.00013258180155308627,0.24685206665763648,0.24661289227023037
120,D_03,detail,3,20,0.013888888888888888,3.683817534652413e-05,8.941138457444887e-05,0.11226763546615286,0.1121588596179223
120,D_04,detail,4,40,0.027777777777777776,1.9818984991660087e-05,6.558197166043941e-05,0.06040013006677846,0.06034160852266675
120,D_05,detail,5,80,0.05555555555555555,9.598199083643705e-06,4.5639264997053694e-05,0.029251370506757413,0.029223028922599453
120,D_06,detail,6,160,0.1111111111111111,6.018558903227213e-06,3.614015596391614e-05,0.018342096768450184,0.018324325153985955
120,D_07,detail,7,320,0.2222222222222222,3.063778801278804e-06,2.578531660385134e-05,0.009337140028661877,0.009328093295625698
